-1,147,410.00","1,100,000.00"
1568,20240815,TH0010000849,光大资管,上海光大证券资产管理有限公司代光证资管汇福乐活4号集合资产管理计划,0000000002950,601847,民汇62号,赎回,¥0.00,"￥-2,478,545.00","2,350,000.00"
1569,20240110,TH0010000849,光大资管,上海光大证券资产管理有限公司代光证资管汇福乐活4号集合资产管理计划,0000000002950,601847,民汇62号,赎回,¥0.00,"￥-2,491,200.00","2,400,000.00"
1572,20240618,TH0010000878,光大资管,上海光大证券资产管理有限公司代光证资管汇福乐活9号集合资产管理计划,0000000003091,601847,民汇62号,赎回,¥0.00,"￥-2,521,200.00","2,400,000.00"
1573,20240815,TH0010000864,光大资管,上海光大证券资产管理有限公司代光证资管汇福乐活6号集合资产管理计划,0000000003012,601847,民汇62号,赎回,¥0.00,"￥-2,531,280.00","2,400,000.00"
1575,20240222,TH0010000905,光大资管,上海光大证券资产管理有限公司代光证资管汇福乐活11号集合资产管理计划,0000000003290,601847,民汇62号,赎回,¥0.00,"￥-2,604,000.00","2,500,000.00"
1576,20240424,TH0010000878,光大资管,上海光大证券资产管理有限公司代光证资管汇福乐活9号集合资产管理计划,0000000003091,601847,民汇62号,赎回,¥0.00,"￥-2,616,500.00","2,500,000.00"
1577,20240508,TH0010000832,光大资管,上海光大证券资产管理有限公司代光证资管汇福乐活2号集合资产管理计划,0000000002894,601847,民汇62号,赎回,¥0.00,"￥-2,619,000.00","2,500,000.00"
1582,20240607,TH6010001241,光大资管,上海光大证券资产管理有限公司代光证资管汇福周周享3号集合资产管理计划,0000000004380,601847,民汇62号,赎回,¥0.00,"￥-2,688,409.77","2,561,122.01"
1586,20240304,TH0010000830,光大资管,上海光大证券资产管理有限公司代光证资管汇福乐活1号集合资产管理计划,0000000002892,601847,民汇62号,赎回,¥0.00,"￥-2,814,210.00","2,700,000.00"
1588,20240508,TH0010000876,光大资管,上海光大证券资产管理有限公司代光证资管汇福乐活8号集合资产管理计划,0000000003071,601847,民汇62号,赎回,¥0.00,"￥-2,828,520.00","2,700,000.00"
1590,20240509,TH6010001123,光大资管,上海光大证券资产管理有限公司代光证资管汇福周周享1号集合资产管理计划,0000000004052,601847,民汇62号,赎回,¥0.00,"￥-2,933,280.00","2,800,000.00"
1593,20240221,TH6010000994,光大资管,上海光大证券资产管理有限公司代光证资管汇福乐活13号集合资产管理计划,0000000003711,601847,民汇62号,赎回,¥0.00,"￥-2,968,275.00","2,850,000.00"
1606,20240702,TH6010001124,光大资管,上海光大证券资产管理有限公司代光证资管汇福周周享2号集合资产管理计划,0000000004053,601847,民汇62号,赎回,¥0.00,"￥-3,049,640.00","2,900,000.00"
1609,20240122,TH0010000830,光大资管,上海光大证券资产管理有限公司代光证资管汇福乐活1号集合资产管理计划,0000000002892,601847,民汇62号,赎回,¥0.00,"￥-3,116,400.00","3,000,000.00"
1610,20240227,TH0010000834,光大资管,上海光大证券资产管理有限公司代光证资管汇福乐活3号集合资产管理计划,0000000002910,601847,民汇62号,赎回,¥0.00,"￥-3,126,000.00","3,000,000.00"
1611,20240314,TH0010000834,光大资管,上海光大证券资产管理有限公司代光证资管汇福乐活3号集合资产管理计划,0000000002910,601847,民汇62号,赎回,¥0.00,"￥-3,129,900.00","3,000,000.00"
1618,20240528,TH6010001123,光大资管,上海光大证券资产管理有限公司代光证资管汇福周周享1号集合资产管理计划,0000000004052,601847,民汇62号,赎回,¥0.00,"￥-3,251,900.00","3,100,000.00"
1619,20240430,TH0010000905,光大资管,上海光大证券资产管理有限公司代光证资管汇福乐活11号集合资产管理计划,0000000003290,601847,民汇62号,赎回,¥0.00,"￥-3,266,640.00","3,120,000.00"
1620,20240827,TH0010000869,光大资管,上海光大证券资产管理有限公司代光证资管汇福乐活7号集合资产管理计划,0000000003034,601847,民汇62号,赎回,¥0.00,"￥-3,271,740.00","3,100,000.00"
1626,20240705,TH6010001124,光大资管,上海光大证券资产管理有限公司代光证资管汇福周周享2号集合资产管理计划,0000000004053,601847,民汇62号,赎回,¥0.00,"￥-3,365,760.00","3,200,000.00"
1628,20240628,TH6010001123,光大资管,上海光大证券资产管理有限公司代光证资管汇福周周享1号集合资产管理计划,0000000004052,601847,民汇62号,赎回,¥0.00,"￥-3,394,694.17","3,229,044.20"
1629,20240124,TH0010000876,光大资管,上海光大证券资产管理有限公司代光证资管汇福乐活8号集合资产管理计划,0000000003071,601847,民汇62号,赎回,¥0.00,"￥-3,481,320.00","3,350,000.00"
